x,celltype
23:03:33:01,FC_ExNeu_L5
23:03:37:03,FC_ExNeu_L23
23:03:84:02,FC_ExNeu_PT
23:04:17:06,BR_NonNeu_Astro_Myoc
23:04:25:01,FC_ExNeu_Claustrum
23:06:21:01,FC_ExNeu_L23
23:06:75:01,FC_ExNeu_Claustrum
23:07:19:01,FC_ExNeu_L5
23:09:50:03,FC_ExNeu_L5
23:09:86:02,FC_ExNeu_PT
23:10:10:01,FC_ExNeu_L4
23:10:27:01,FC_ExNeu_L4
23:10:31:02,FC_ExNeu_L23
23:10:51:04,HC_ExNeu_DG
23:12:77:05,HC_ExNeu_Subiculum
23:12:81:03,FC_ExNeu_L5
23:12:83:02,FC_ExNeu_L23
23:12:94:03,FC_ExNeu_PT
23:13:19:01,FC_ExNeu_L23
23:14:10:03,FC_ExNeu_L23
23:14:19:04,HC_ExNeu_CA23
23:14:21:01,FC_ExNeu_L4
23:14:26:04,BR_NonNeu_Endothelial
23:14:88:06,HC_ExNeu_CA1
23:16:12:01,FC_ExNeu_L23
23:16:23:01,FC_ExNeu_PT
23:17:20:02,FC_ExNeu_Claustrum
23:17:86:05,HC_ExNeu_CA23
23:19:08:01,FC_ExNeu_L23
23:19:30:03,FC_ExNeu_L4
23:19:30:05,HC_ExNeu_CA1
23:19:47:05,HC_ExNeu_CA1
23:19:49:05,BR_NonNeu_OPC
23:20:17:04,HC_ExNeu_CA1
23:20:38:05,HC_ExNeu_CA1
23:21:50:02,FC_ExNeu_L23
23:22:15:02,FC_ExNeu_L5
23:22:23:05,HC_ExNeu_CA23
23:22:57:04,HC_ExNeu_Subiculum
23:22:81:03,FC_ExNeu_NP
23:22:90:01,FC_ExNeu_L5
23:23:56:03,FC_ExNeu_L4
23:24:30:06,HC_ExNeu_CA23
23:24:90:01,FC_ExNeu_L23
23:25:43:04,HC_ExNeu_CA23
23:25:48:02,FC_ExNeu_PT
23:25:77:02,FC_ExNeu_PT
23:25:77:06,BR_InNeu_CGE
23:27:55:01,FC_ExNeu_L23
23:27:66:01,FC_ExNeu_PT
23:27:81:02,FC_ExNeu_CT
23:27:81:03,FC_ExNeu_Claustrum
23:28:61:06,BR_NonNeu_Microglia
23:29:10:01,FC_ExNeu_L23
23:29:58:03,FC_ExNeu_PT
23:29:68:01,FC_ExNeu_PT
23:30:27:03,FC_ExNeu_L4
23:30:74:03,FC_ExNeu_L4
23:31:56:03,BR_InNeu_Sst
23:32:32:04,HC_ExNeu_DG
23:32:70:01,BR_InNeu_Pvalb
23:33:31:02,FC_ExNeu_L4
23:34:66:01,BR_InNeu_Sst
23:34:94:01,FC_ExNeu_L4
23:35:36:01,FC_ExNeu_CT
23:35:36:02,FC_ExNeu_L4
23:35:45:01,FC_ExNeu_L5
23:35:57:04,HC_ExNeu_CA23
23:35:77:02,FC_ExNeu_L5
23:36:59:01,BR_InNeu_CGE
23:38:71:01,FC_ExNeu_L23
23:39:78:02,FC_ExNeu_Claustrum
23:39:93:01,FC_ExNeu_L5
23:40:79:06,BR_NonNeu_Microglia
23:42:31:02,FC_ExNeu_L23
23:42:58:01,FC_ExNeu_L23
23:42:68:04,HC_ExNeu_CA23
23:42:71:01,FC_ExNeu_L5
23:42:77:04,HC_ExNeu_CA1
23:42:94:03,FC_ExNeu_L23
23:43:16:04,HC_ExNeu_DG
23:43:17:03,FC_ExNeu_PT
23:43:51:02,FC_ExNeu_PT
23:43:51:06,BR_NonNeu_Endothelial
23:44:25:03,FC_ExNeu_L23
23:44:57:04,HC_ExNeu_Subiculum
23:45:15:04,HC_ExNeu_CA1
23:48:16:03,FC_ExNeu_L4
23:48:20:05,HC_ExNeu_CA1
23:48:32:05,HC_ExNeu_DG
23:48:43:01,BR_InNeu_CGE
23:48:66:03,FC_ExNeu_L23
23:49:20:02,FC_ExNeu_L23
23:49:46:01,FC_ExNeu_L23
23:50:16:01,FC_ExNeu_L23
23:50:27:05,BR_NonNeu_OPC
23:50:33:01,FC_ExNeu_L5
23:51:15:02,FC_ExNeu_L23
23:51:66:01,FC_ExNeu_L23
23:51:75:04,HC_ExNeu_DG
23:51:81:01,FC_ExNeu_L4
23:52:58:01,FC_ExNeu_L4
23:53:78:02,FC_ExNeu_PT
23:55:05:01,FC_ExNeu_L23
23:55:37:02,FC_ExNeu_L5
23:55:49:04,HC_ExNeu_CA23
23:55:59:01,FC_ExNeu_L5
23:56:08:01,FC_ExNeu_L4
23:56:27:03,FC_ExNeu_L23
23:56:28:02,FC_ExNeu_L5
23:57:06:01,FC_ExNeu_L23
23:58:30:01,FC_ExNeu_L5
23:58:36:05,BR_NonNeu_Endothelial
23:59:21:01,FC_ExNeu_L4
23:59:51:01,FC_ExNeu_Claustrum
23:59:80:01,BR_NonNeu_Astro_Myoc
23:60:19:05,HC_ExNeu_DG
23:62:30:04,HC_ExNeu_CA1
23:63:30:05,HC_ExNeu_Subiculum
23:63:49:01,FC_ExNeu_Claustrum
23:64:23:04,HC_ExNeu_CA1
23:65:12:04,HC_ExNeu_CA23
23:66:27:04,HC_ExNeu_CA23
23:66:63:03,FC_ExNeu_Claustrum
23:67:77:01,FC_ExNeu_L5
23:68:19:03,FC_ExNeu_L4
23:68:45:05,HC_ExNeu_CA23
